CNN,Street_name,ST_TYPE,NHOOD,CNNTEXT,shape
4817101,DIVISADERO,ST,Pacific Heights,4817101,"LINESTRING (-122.44044011443242 37.78806716531624, -122.44050221407035 37.78814151089644, -122.44065805355172 37.7889219959988, -122.44062361929019 37.788995259871776)"
4817201,DIVISADERO,ST,Pacific Heights,4817201,"LINESTRING (-122.44044011443242 37.78806716531624, -122.44040630209129 37.78815220017301, -122.44056483400979 37.78893731923094, -122.44062361929019 37.788995259871776)"
4818101,DIVISADERO,ST,Pacific Heights,4818101,"LINESTRING (-122.44062361929019 37.788995259871776, -122.44068120752317 37.78906666156505, -122.44082707665919 37.78979719025584, -122.4408055729002 37.78987229582899)"
4818201,DIVISADERO,ST,Pacific Heights,4818201,"LINESTRING (-122.44062361929019 37.788995259871776, -122.44059555292219 37.78907605893352, -122.44074350762342 37.789808783521444, -122.4408055729002 37.78987229582899)"
4819000,DIVISADERO,ST,Pacific Heights,4819000,"LINESTRING (-122.4408055729002 37.78987229582899, -122.44098438072852 37.79075546213467)"
4811201,DIVISADERO,ST,Western Addition,4811201,"LINESTRING (-122.43929762511631 37.782450481277415, -122.43927669339352 37.782538128032705, -122.43940655341372 37.78323772799924, -122.43948038182064 37.78330848762415)"
4811101,DIVISADERO,ST,Anza Vista,4811101,"LINESTRING (-122.43929762511631 37.782450481277415, -122.43936989463234 37.78252500053108, -122.43951508723741 37.78322562434746, -122.43948038182064 37.78330848762415)"
4813201,DIVISADERO,ST,Lower Pacfic Heights,4813201,"LINESTRING (-122.43968467912573 37.78431867417618, -122.43965494705029 37.78440740134757, -122.43981044447143 37.785176042264446, -122.43987261296931 37.785247526782136)"
4816201,DIVISADERO,ST,Lower Pacfic Heights,4816201,"LINESTRING (-122.4402499560136 37.78711245554227, -122.44021614502498 37.787197491259384, -122.44037914863173 37.78800477457643, -122.44044011443242 37.78806716531624)"
4800201,DIVISADERO,ST,Hayes Valley,4800201,"LINESTRING (-122.43723493203859 37.77220371221034, -122.43720341419852 37.77228603834618, -122.43736036156257 37.773060370181625, -122.43742293951387 37.77313349322287)"
4800101,DIVISADERO,ST,Haight Ashbury,4800101,"LINESTRING (-122.43723493203859 37.77220371221034, -122.43729783079291 37.772274281147084, -122.4374552170091 37.7730499796584, -122.43742293951387 37.77313349322287)"
4799101,DIVISADERO,ST,Haight Ashbury,4799101,"LINESTRING (-122.43704561266036 37.771267424787126, -122.4371039016767 37.77133509945376, -122.43726351978069 37.77212454180465, -122.43723493203859 37.77220371221034)"
4798201,DIVISADERO,ST,Hayes Valley,4798201,"LINESTRING (-122.43684894235278 37.770342896301194, -122.43682588853416 37.77042517915949, -122.43698125937794 37.77119995213672, -122.43704561266036 37.771267424787126)"
